Book;Page;Name;Label;Arguments;start delimiter;end delimiter;description
AR;31;Embed;Embed;Damage;;;The attack embeds a barbed needle or another lingering effect in the target. The first time each round the target moves 5 feet or more in a single action (voluntarily or not), it takes the listed damage. The target can remove the embedded object with a standard action, dealing the listed damage in the process. Alternatively, with a successful Medicine check (DC = 15 + 1-1/2 the weapon’s item level), another creature can remove the object from the target and deal no damage. Multiple embedded objects each deal their listed damage and must be removed one at a time.
AR;31;Fatigue;Fatigue;;;;The target must succeed at a Fortitude saving throw or gain the fatigued condition for 1 round per item level of the weapon. This condition can be removed as normal.
AR;31;Irradiate;Irradiate;;;;The target must succeed at a Fortitude save or contract radiation sickness (Core Rulebook 404). The DC for this disease is equal to the weapon’s critical hit DC. This is considered low- level radiation, regardless of the save DC.
AR;31;Jet;Jet;Damage;;;The attack emits a jet of energy that suffuses the target and extends to strike a second creature. This secondary target must be adjacent to the original target and on the opposite border or opposite corner of the target’s space from you. When in doubt about whether a second creature’s position compared to a target makes it subject to a jet attack, trace a line from the center of your space to the center of the second creature’s space. If the line passes through opposite borders or corners of the primary target’s space, then the second creature is a valid target for the jet attack. If multiple valid targets of the jet damage are present, you choose which is the secondary target. Roll the amount of damage listed in the weapon’s jet: the secondary target takes this damage (not multiplied by the critical hit) of whatever energy damage type the weapon deals.
AR;31;Leech;Leech;;;;This weapon can leach life force from a target, draining its vitality and leaving it feeling unsteady. The target must succeed at a Fortitude save or gain the off-target condition for 1 round per item level of the weapon. This has no effect if the target is immune to disease.
AR;31;Nauseate;Nauseate;;;;The target must succeed at a Fortitude saving throw or gain the nauseated condition for 1 round.
AR;31;Pulse;Pulse;;;;The weapon’s output explodes in a pulse of energy. All creatures adjacent to the original target take the amount of damage listed in the pulse entry, of the same type dealt by the weapon’s initial attack.
AR;31;Push;Push;Range;(;);The target is pushed the listed distance away from you. If the target runs into an obstacle, it stops moving and falls prone.
AR;31;Second Arc;Second Arc;Damage;;;"The attack’s energy continues leaping from a secondary target to a tertiary target. This functions identically to the arc critical hit effect (Core Rulebook 182), except the second arc can’t target either the original target of the attack or the creature struck by the first arc special property.
Arc: This secondary target must be within 10 feet of your original target and must be the creature closest to the original target . Roll the amount of damage listed in the weapon’s arc—the secondary target takes this damage (not multiplied by the critical hit), of whatever type the weapon deals."
AR;31;Sicken;Sicken;;;;The target must succeed at a Fortitude saving throw or become sickened for 1d4 minutes. This has no effect if the target is immune to disease.
AR;31;Stifle;Stifle;;;;The target can’t speak or make vocalizations of any kind for 1 round.
AR;31;Suffocate;Suffocate;;;;The weapon sucks the atmosphere away from the target. If the target is wearing armor or a space suit that has activated environmental protections, the weapon depletes a number of days of that protection equal to half the weapon’s item level. If this depletes the environmental protections entirely, or if the target was not wearing any such protections, the target must succeed at a Fortitude save or gain the exhausted condition.
