Book;Page;Unique Slug;Store;Name;Members;Description;SlugScript;"For Normal item -> SUBSTITUE(MINUSCULE(CONCATENER(A2;"" "";E2));"" "";""-"")
Sometimes it can happen to get two items with the same slug, just add ""-1""
For Weapon fusion we use -> SUBSTITUE(MINUSCULE(CONCATENER(A2;""-fusion-"";E2));"" "";""-"")
For Armor upgrade we use -> SUBSTITUE(MINUSCULE(CONCATENER(A2;""-armor-upgrade-"";E2));"" "";""-"")"
CR;192;cr-fusion-bane;WeaponFusion;BANE;;The bane fusion enhances the power of critical hits against certain foes. Against a designated foe, the bane weapon gains the stunned critical hit effect (see page 182). If the weapon already has a critical hit effect, when you score a critical hit against an appropriate foe, you can apply either the weapon’s normal critical hit effect or the stunned effect. When you add this fusion to a weapon (or create it as a fusion seal), you must select a single creature type (aberration, animal, construct, dragon, fey, humanoid, magical beast, ooze, outsider, plant, undead, or vermin) against which it will apply. If you select humanoid or outsider, you must also select one subtype. The stunned critical hit effect applies only against creatures of the selected type (and subtype, if selected). Once selected, the creature type and subtype can’t be changed.;cr-fusion-bane;
CR;184;cr-baton;Weapon;Baton;Advanced, Tactical;A baton is a thin, solid metal shaft, usually with a textured rubber grip. A tactical baton can be used to inflict precise bludgeoning blows. An advanced baton, used by elite mercenary and security companies, often has an additional shaft, as well as a weighted end that can be powered to connect with substantially more force than a tactical baton.;cr-baton;
CR;190;cr-battery;BattleWare;Battery;High-Capacity, Super-Capacity, Ultra-Capacity;Batteries charge powered weapons, but they can also be used to power an array of items, including powered armor and technological items. Batteries have a standardized size and weight, and items that take batteries all have a slot into which they fit, regardless of the item’s actual size. Weapons that use batteries list the highest-capacity battery they are capable of using as well as how many charges from the battery that each shot consumes.;cr-battery;
CR;204;cr-battle-harness;PowArmor;Battle Harness;;The battle harness is the basic powered armor frame used by infantry units in professional militaries.;cr-battle-harness;
CR;187;cr-battleglove;Weapon;Battleglove;Cestus, Gravity, Nova, Power;Battlegloves are popular, economical choices for mercenaries and guards. These durable nylon-web or para-aramid gloves hold a weighted plate over the wearer’s knuckles. You can hold other objects or weapons in a hand wearing a glove, but you can’t use the glove to make attacks while doing so.;cr-battleglove;
CR;192;cr-fusion-blasting;WeaponFusion;BLASTING;;The blasting fusion allows a weapon to make a single attack as a blast (see the blast weapon special property on page 180) once per day as a full action. This attack has a maximum range of 30 feet and deals half the weapon’s normal damage. Only ranged weapons that don’t have the automatic, explode, line, or thrown weapon special property can benefit from the blasting fusion. Weapons that don’t require attack rolls to affect their targets also can’t benefit from the blasting fusion.;cr-fusion-blasting;
CR;193;cr-fusion-bleeding;WeaponFusion;BLEEDING;;The bleeding fusion weaves entropic energy into the weapon’s form. The weapon gains the bleed critical hit effect (see page 182). The amount of damage taken each round from this effect is equal to 1d6 per 5 levels of the weapon, rounded down. If the weapon already has a critical hit effect, when you score a critical hit, you can apply either the weapon’s normal critical hit effect or the bleed effect. Only weapons that deal piercing or slashing damage can have this fusion.;cr-fusion-bleeding;
CR;187;cr-bow;Weapon;Bow;;Modern compound bows are made of aluminum alloys, for superior lightness and durability. The string is made of high- performance polyethylene. Bows fire arrows as ammunition, and they can also be used with grenade arrows for more customized damage and effects.;cr-bow;
CR;193;cr-fusion-burst;WeaponFusion;BURST;;With the burst fusion, a weapon’s energy damage can form a small explosion that spills onto a second target. The weapon gains the arc critical hit effect (see page 182). If the weapon already has a critical hit effect, when you score a critical hit, you can apply either the weapon’s normal critical hit effect or the arc effect. The amount of damage dealt to the secondary target is equal to one-third the level of the weapon with the burst fusion (minimum 1). Only weapons that deal acid, cold, electricity, fire, or sonic damage can benefit from a burst fusion. If your weapon deals more than one type of energy damage, you select one of those types for the arc critical hit effect to apply to secondary targets when the fusion is added.;cr-fusion-burst;
CR;193;cr-fusion-called;WeaponFusion;CALLED;;A weapon with the called fusion can be teleported to its owner’s hand as a swift action, even if the weapon is in the possession of another creature. This ability has a maximum range of 100 feet, and effects that block teleportation prevent the return of a called weapon. A weapon with the called fusion must be in your possession for at least 24 hours for this ability to function.;cr-fusion-called;
CR;199;cr-carbon-skin;Armor;Carbon Skin;Diamond, Graphite, Nanotube, White Carbon;Though these suits of light armor appear to be made of stiff fabric, they are actually woven from carbon fibers. Higher-quality carbon skins are reinforced with carbon allotypes, such as white carbon or diamond, and the heightened sheen of the fabric hints at their expensive construction.;cr-carbon-skin;
CR;187;cr-carbonedge-shuriken;Weapon;Carbonedge Shuriken;;The four-armed kasathas favor thrown weapons, so they are the most common users of these finely edged projectiles. Users of thrown weapons appreciate the light weight and keen edges of carbonedge shuriken.;cr-carbonedge-shuriken;
CR;204;cr-cargo-lifter;PowArmor;Cargo Lifter;;A cargo lifter consists of a simple metal frame atop slow-moving legs or treads. Rather than having articulated hands, its arms end in specialized gripping tools meant to lift bulky containers. A cargo lifter can’t use weapons and takes a –4 penalty to all attack rolls. It can carry 10 bulk more than normal for its Strength score without becoming encumbered or overburdened.;cr-cargo-lifter;
CR;199;cr-ceremonial-plate;Armor;Ceremonial Plate;Commander, Officer, Troop;While this heavy armor of sculpted metal plates offers good protection to the wearer, its main purpose is to intimidate enemies. Often used for honor guards, military exercises, or parades, ceremonial plate is usually brightly colored or made of shining metal, with elaborate helmets.;cr-ceremonial-plate;
CR;187;cr-club;Weapon;Club;;"A club is any sort of blunt, oblong instrument with a haft suitable for gripping. Clubs can be made of stone, wood, or similar materials. Metal clubs exist as well, and they are usually hollow to keep them from being too heavy. Some Free Captains refer to clubs as belaying pins, though those archaic items are
not required on starships.
";cr-club;
CR;185;cr-combat-rifle;Weapon;Combat Rifle;;This utilitarian rifle is favored by mercenaries who aren’t looking for flashy weapons.;cr-combat-rifle;
CR;193;cr-fusion-corrosive;WeaponFusion;CORROSIVE;;The corrosive fusion weaves the destructive power of acid into the weapon’s form. Half the weapon’s damage type is replaced with acid damage. You can activate or deactivate the corrosive fusion as a swift action. If the weapon already deals two types of damage, replace one of them with acid (you decide which damage type is replaced each time you activate the corrosive fusion). You can add this fusion only to a weapon that does not already deal acid damage. This fusion never causes a weapon that normally targets KAC to target EAC.;cr-fusion-corrosive;
CR;185;cr-crossbolter;Weapon;Crossbolter;Advanced, Dual, Elite, Paragon, Tactical;This weapon resembles a rifle with a crossbeam near the end of the barrel. A crossbolter uses mechanical power to fire arrows along the barrel. Grenade arrows can also be fired with a crossbolter.;cr-crossbolter;
CR;183;cr-cryo-grenade;BattleWare;Cryo Grenade;I–IV;Cryo grenades release a blast of supercooled chemicals on impact, which immediately coalesce into freezing particles.;cr-cryo-grenade;
CR;183;cr-cryopike;Weapon;Cryopike;Advanced, Tactical;The haft of a cryopike is a long aluminum or carbon-steel shaft with an adjustable rubber grip. A cryopike emits a blast of supercooled gas from its tip that acts as a freezing blade.;cr-cryopike;
CR;187;cr-curve-blade;Weapon;Curve Blade;Buzzblade, Carbon Steel, Dimensional Slice, Ultrathin;"This graceful, curving blade further increases the drama inherent in sword fighting. Carbon steel blades bite deeply, causing bleeding wounds. The blade of an ultrathin curve blade looks delicate, but it is as
hard as carbon steel and keeps a fine edge. Buzzblade curve blades vibrate when powered, tearing organic flesh and
causing additional bleed damage. Dimensional slice curve blades have only a narrow visible blade area, surrounded by a solid aura; these are the sharpest and most
dangerous curve blades on the market.
";cr-curve-blade;
CR;184;cr-dagger;Weapon;Dagger;Molecular Rift, Ultrathin, Zero-Edge;"The thinness and lightness of daggers make them easy to carry or conceal. Ultrathin daggers have sharp, double-edged blades. Zero-edge daggers have blades—crafted with quantum technology—that are so fine, their edges blur. The blade of a molecular rift dagger looks translucent, as if it’s made of glass, and its vibrating particles allow the dagger to slice through almost any substance. Most daggers are available with fixed, folding, or retractable blades.
";cr-dagger;
CR;190;cr-darts;BattleWare;Darts;;These light metal shafts each have a pointed tip and a reservoir to hold toxins or other appropriate substances that are typically liquid or viscous. While most combatants rely on darts to deliver toxins to enemies, particularly desperate or overworked field medics sometimes employ darts to conveniently deliver antitoxins, healing serums, and other beneficial drugs across a crowded battlefield. In these cases, medics often practice to improve their aim to ensure that this strategy is effective when employed.;cr-darts;
CR;193;cr-fusion-deafening;WeaponFusion;DEAFENING;;With the deafening fusion, a weapon releases a blast of low- frequency sonic energy on impact. The weapon gains the deafen critical hit effect (see page 182). If the weapon already has a critical hit effect, when you score a critical hit, you can apply either the weapon’s normal critical hit effect or the deafen effect. Only weapons that deal bludgeoning, piercing, slashing, or sonic damage can benefit from a deafening fusion.;cr-fusion-deafening;
CR;199;cr-defiance-series;Armor;Defiance Series;Elite, Specialist, Squad;The defiance series of heavy armor is the workhorse of squad armor. A formed hard shell overlays a suit of para-aramids, creating a bulky and solid protective outfit. Defiance series helmets have wide, tinted visors to allow peripheral vision.;cr-defiance-series;
CR;193;cr-fusion-defiant;WeaponFusion;DEFIANT;;A weapon with the defiant fusion resists efforts to be removed from its wielder. If you are wielding it when you are knocked unconscious, panicked, or stunned, it stays in your hand. You also gain a bonus to your KAC against combat maneuvers to disarm the weapon equal to one-fifth the weapon’s level (minimum +1).;cr-fusion-defiant;
CR;199;cr-defrex-hide;Armor;Defrex Hide;;Made from the hide of a ferocious mammal native to Vesk-2, this light armor is popular among vesk but less often worn by other races. Tanned stretches of the creature’s thick hide are stitched together with metal wires, and the suits are reinforced with metal studs or scales.;cr-defrex-hide;
CR;193;cr-fusion-devastating;WeaponFusion;DEVASTATING;;You can apply the devastating fusion only to a weapon with two or more critical hit effects. When you score a critical hit with a weapon that has the devastating fusion, you can select two of the critical hit effects to apply to the target (even if you are normally required to select just one critical hit effect).;cr-fusion-devastating;
CR;187;cr-devastation-blade;Weapon;Devastation Blade;Apocalypse, Ruin, Wrack;The overlarge devastation blade is a two-edged sword that creates terrifying wounds. Devastation blades are rarely subtle weapons, due to both their size and their often elaborate spiked designs.;cr-devastation-blade;
CR;193;cr-fusion-dispelling;WeaponFusion;DISPELLING;;A weapon with the dispelling fusion gathers spare wisps of latent magic during combat, which it can then unleash in a focused effort to dispel magic. The weapon gains dispelling as a critical hit effect in combat. This ability manifests only in high-stakes situations, so you must be in combat and facing a significant enemy (see page 242) for it to gain this critical hit effect. If there’s any doubt about whether you’re in combat or able to access the critical hit effect, the GM decides. If the weapon already has a critical hit effect, when you score a critical hit, you can apply either the weapon’s normal critical hit effect or the dispelling effect. A target affected by the dispelling critical hit effect is the subject of a targeted dispel magic, as the spell, using the weapon’s item level as the dispel check’s caster level.;cr-fusion-dispelling;
CR;193;cr-fusion-disruptive;WeaponFusion;DISRUPTIVE;;The disruptive fusion imbues a weapon with powerful positive energy designed to disrupt the magical forces that allow undead to exist. The weapon ignores any DR and energy resistance of undead creatures. Only weapons that deal bludgeoning damage can benefit from this fusion.;cr-fusion-disruptive;
CR;187;cr-doshko;Weapon;Doshko;Advanced, Dimensional Blade, Molecular Rift, Tactical, Ultrathin, Zero-Edge;"The traditional weapon of the vesk, the doshko is composed of one to four triangular blades arranged in a row and attached to a long haft. Ideal for devastating overhand blows and catching and parrying enemy weapons, its use is a highly respected art form in traditional vesk society, but it also sees use by creatures of other races as a variant axe. Traditionally, doshkos are made of steel, but in recent decades they have been crafted using advanced metallurgic techniques and even quantum technology to improve the stabbing edges.
Ultrathin doshko blades look exceptionally delicate but hold a fine edge. Zero-edge doshkos appear to have a blurred edge, while molecular rift doshkos have translucent blades. Dimensional blade doshkos have a narrower visible blade, but the solid surrounding aura makes them vicious weapons.
";cr-doshko;
CR;199;cr-d-suit;Armor;D-Suit;I-VI;Disembarkment suits, or d-suits, are designed for spacefarers who expect to leave their ship and visit a planet’s surface. Most d-suits are jumpsuits or flight suits worn under reinforced breeches, heavy boots, and a thick jacket. A helmet or rebreather and a utility belt with an attached holster complete the outfit.;cr-d-suit;
CR;187;cr-dueling-sword;Weapon;Dueling Sword;Buzzblade, Molecular Rift, Ripper, Tactical, Ultrathin;While dueling swords are crafted to be aesthetically pleasing and are often seen as a mark of rank or tradition, many warriors still train with them to deadly effect. The powered blades of both buzzblade and ripper dueling swords bring this danger into the modern era, while the molecular rift sword—though unpowered— uses a field of disrupted molecules along its blade to slice through nearly anything, and must be stored in a magnetic sheath that never actually touches the blade.;cr-dueling-sword;
CR;194;cr-fusion-durable;WeaponFusion;DURABLE;;The durable fusion uses magical runes and reinforcements to significantly increase a weapon’s toughness. When determining a weapon’s hardness, Hit Points, and saving throws, treat its item level as being 5 higher. For more about calculating these values, see Breaking Objects on page 409.;cr-fusion-durable;
CR;199;cr-echelon-fashion;Armor;Echelon Fashion;Bespoke, Ready to Wear;Modeled after the universe’s most cutting-edge fashions, this lightly armored clothing is available in daring modern designs, using force fields and the highest-tech fibers to create any sort of outfit imaginable. Bespoke echelon fashions are often tailor- made for the orderer and meant to look unique.;cr-echelon-fashion;
CR;199;cr-enginerunner;Armor;Enginerunner;;The ysoki popularized this seemingly lightweight but incredibly durable heavy armor. Small squares of dense metal lie between two layers of reinforced fiber weave, giving the appearance of a padded flight suit but offering considerably more protection.;cr-enginerunner;
CR;194;cr-fusion-entangling;WeaponFusion;ENTANGLING;;A weapon with the entangling fusion gains the entangle weapon special property (see page 181). Only a single attack each day may benefit from this property, and you must announce before making an attack that it is an entangle attack. Regardless of how many targets you can hit with a single attack from your weapon, only a single target of your choice is affected by the entangle condition. The entangle effect ends after 1d4 rounds if the target has not already escaped it. Only weapons that do bludgeoning, piercing, slashing, or cold damage can benefit from this fusion.;cr-fusion-entangling;
CR;199;cr-estex-suit;Armor;Estex Suit;I-IV;Estex is a thick, durable fabric most often used to make flight suits and environmental suits. Estex suits cover the wearer from the neck down and can be modified with armor upgrades as needed. Higher-quality estex suits grant a better level of protection and allow for more upgrades, though they are often bulkier than comparable suits of light armor.;cr-estex-suit;
CR;189;cr-fangblade;Weapon;Fangblade;;Cheaper and less elegant than a ripper dueling sword, a fangblade is closer to an industrial chainsaw, with a toothed, motor-driven chain wrapped around its blade.;cr-fangblade;
CR;183;cr-flame-doshko;Weapon;Flame Doshko;Blaze, Ember, Inferno, Solar Flare;When activated, the blade of this doshko heats up by means of internal heating coils. The doshko deals fire damage and can also cause traumatic injuries.;cr-flame-doshko;
CR;183;cr-flame-pistol;Weapon;Flame Pistol;;A flame pistol shoots a line of ignited petrol from its barrel.;cr-flame-pistol;
CR;183;cr-flame-rifle;Weapon;Flame Rifle;;A flame rifle shoots a line of ignited petrol from its barrel.;cr-flame-rifle;
CR;183;cr-flamethrower;Weapon;Flamethrower;Firedrake-Class, Hellhound-Class, Ifrit- Class, Phoenix-Class, Salamander-Class;These portable flamethrowers consist of a heavy rifle-like design with an oversized petrol tank integrated into the weapon’s stock.;cr-flamethrower;
CR;194;cr-fusion-flaming;WeaponFusion;FLAMING;;The flaming fusion imbues a weapon with the fiery power of a star. Half the weapon’s damage type is replaced with fire damage. You can activate or deactivate the flaming fusion as a swift action. If the weapon already deals two types of damage, replace one of them with fire (you decide which damage type to replace each time you activate the flaming fusion). You can add this fusion only to a weapon that does not already deal fire damage. This fusion never causes a weapon that normally targets KAC to target EAC.;cr-fusion-flaming;
CR;190;cr-flare;BattleWare;Flare;;Usually made of magnesium, flares burn brightly and can deliver some heat. You can ignite a flare by hand without the need for a flare gun. A lit flare burns for 1 hour, and it can be wielded in melee combat as an improvised weapon that deals 1d2 fire damage.;cr-flare;
CR;183;cr-flare-gun-survival;Weapon;Flare Gun, Survival;;A survival flare gun is used to signal danger or call for help. Though not designed for combat, survival flare guns can deal fire damage at close range.;cr-flare-gun-survival;
CR;184;cr-flash-grenade;BattleWare;Flash Grenade;I–IV;When detonated, a flash grenade releases a pulse of intense radiance.;cr-flash-grenade;
CR;204;cr-flight-frame;PowArmor;Flight Frame;;This massive, sleek machine is shaped like a person and equipped with powerful thrusters built into the feet and attached to the back, giving it a fly speed with average maneuverability.;cr-flight-frame;
CR;184;cr-frag-grenade;BattleWare;Frag Grenade;I–VIII;A fragmentary, or frag, grenade explodes in a cloud of shrapnel.;cr-frag-grenade;
CR;199;cr-freebooter-armor;Armor;Freebooter Armor;I-V;Popularized by the Free Captains of the Diaspora, freebooter armor features an armored jacket or breastplate, heavy boots and gloves, numerous straps and hidden weapons, and a helmet. Novice explorers and mercenaries beginning their career sometimes choose freebooter armor for the air of rakish experience this light armor lends its wearer.;cr-freebooter-armor;
CR;194;cr-fusion-frost;WeaponFusion;FROST;;The frost fusion imbues a weapon with the icy cold of a dead world far from its system’s sun. Half the weapon’s damage type is replaced with cold damage. You can activate or deactivate the frost fusion as a swift action. If the weapon already deals two types of damage, replace one of them with cold (you decide which damage type to replace each time you activate the frost fusion). You can add this fusion only to a weapon that does not already deal cold damage. This fusion never causes a weapon that normally targets KAC to target EAC.;cr-fusion-frost;
CR;194;cr-fusion-ghost-killer;WeaponFusion;GHOST KILLER;;Attacks from a weapon with this fusion deal full damage to incorporeal creatures. They also pass into the Ethereal Plane, allowing such attacks to affect ethereal creatures normally. Weapons with the ghost killer fusion can also score critical hits against incorporeal creatures. In addition, an incorporeal creature (though not an ethereal one) can pick up, move, or wield a ghost killer weapon.;cr-fusion-ghost-killer;
CR;194;cr-fusion-glamered;WeaponFusion;GLAMERED;;As a standard action, a weapon with the glamered fusion can be commanded to change its appearance to assume the form of another object of similar size. The weapon retains all its properties (including bulk) when disguised but does not radiate magic. Only true seeing or similar magic reveals the true nature of a glamered weapon while it is in disguise. After a glamered weapon is used to make an attack, this fusion is suppressed for 1 minute.;cr-fusion-glamered;
CR;186;cr-gluon-crystal;Weapon;Gluon Crystal;Greater, Lesser, Minor, Standard, True;Gluon crystals create an entropic field along the weapon that creates traumatic wounds.;cr-gluon-crystal;
CR;199;cr-golemforged-plating;Armor;Golemforged Plating;I-V;An economical choice for many mercenaries, golemforged plating is one of the universe’s most popular heavy armors. Golemforged plating consists of a close-fitting polycarbonate suit fitted with ports and sockets to fit most armor customization options. Suits of golemforged plating include flexible boots and gloves as well as a standard helmet with a clear visor.;cr-golemforged-plating;
CR;186;cr-graviton-crystal;Weapon;Graviton Crystal;Greater, Lesser, Minor, Standard, True;Graviton crystals accelerate the impact of a weapon, dealing extra damage and potentially knocking down targets.;cr-graviton-crystal;
CR;190;cr-grenade-arrow;BattleWare;Grenade Arrow;I–IV;The explosive tip of the arrow detonates on impact. A grenade arrow can be made using any handheld grenade. The miniaturized technology incorporated into the arrow increases its price substantially over an equivalent grenade.;cr-grenade-arrow;
CR;189;cr-grindblade;Weapon;Grindblade;;The sharp edge of a grindblade has been crafted with advanced micropitting technology that turns it into a destructive rasp at close to the molecular level, capable of inflicting hideous damage. So sharp and savage is their edge that most grindblade designers don’t even bother giving them a point.;cr-grindblade;
CR;185;cr-gyrojet-pistol;Weapon;Gyrojet Pistol;Advanced, Elite, Tactical;Gyrojet pistols fire mini-rockets that can hit with a force great enough to knock down targets. Gyrojet pistols are slightly larger than semiautomatic pistols, and they have a reinforced barrel.;cr-gyrojet-pistol;
CR;185;cr-gyrojet-rifle;Weapon;Gyrojet Rifle;Advanced, Elite, Paragon, Tactical;The longarm model of a gyrojet pistol, a gyrojet rifle fires mini- rockets with devastating force.;cr-gyrojet-rifle;
CR;189;cr-hammer;Weapon;Hammer;Assault, Comet, Gravity Well, Meteoric;Assault hammers have heavily weighted metal heads and relatively light aluminum or polycarbonate grips. Hammer heads can be custom-made with designs or logos imprinted on the surface. Comet, gravity well, and meteoric hammers have weighted or pneumatically driven heads that deliver accelerated blows.;cr-hammer;
CR;199;cr-hardlight-series;Armor;Hardlight Series;Elite, Specialist, Squad;The last word in light infantry armor, hardlight series armor features an inflexible, lightweight breastplate, limb guards, and a helmet over a smooth and formfitting jumpsuit. Manufacturers often make custom armor for military organizations, but off-the- rack armor of differing qualities is also available to mercenaries and explorers.;cr-hardlight-series;
CR;199;cr-hidden-soldier-armor;Armor;Hidden Soldier Armor;;Made by the kasatha, these suits of heavy armor are so named for their slitted helmets, which reveal only the eyes. A rebreather lets the wearer keep their faces completely covered. A ceramic breastplate, shoulder guards, bracers, and greaves protect the wearer while facilitating the graceful kasathan close-combat style.;cr-hidden-soldier-armor;
CR;194;cr-fusion-holy;WeaponFusion;HOLY;;A weapon with the holy fusion becomes blessed with divine energy from a good deity. Any attacks with the fused weapon are good-aligned. Damage from the weapon bypasses DR/good and ignores the energy resistance of evil dragons, evil outsiders, and evil undead. The holy fusion cannot be added to weapons that have the unholy fusion.;cr-fusion-holy;
CR;185;cr-hunting-rifle;Weapon;Hunting Rifle;;This basic rifle is used mainly for personal defense and hunting. More advanced rifles have military uses.;cr-hunting-rifle;
CR;194;cr-fusion-hybridized;WeaponFusion;HYBRIDIZED;;A weapon with the hybridized fusion replaces much of its technological functions with magic counterparts. It gains the analog weapon special property (see page 180), and the core function of the weapon is considered to be a hybrid of magic and technology (rather than only the fusion counting as a hybrid item). A hybridized weapon still consumes ammunition and battery charges normally.;cr-fusion-hybridized;
CR;194;cr-fusion-illuminating;WeaponFusion;ILLUMINATING;;The illuminating fusion causes a weapon to gain the bright weapon special property (see page 181). You can deactivate this fusion as a move action, in which case the weapon acts as if it does not have the bright property until it is reactivated (which also requires a move action).;cr-fusion-illuminating;
CR;189;cr-imds-missile-launcher;Weapon;IMDS Missile Launcher;;IMDS (an acronym for “individual missile delivery system”) missile launchers are the most common missile launchers currently on the market. IMDS launchers fire individual missiles as ammunition and use the damage listed for the missiles fired out of them.;cr-imds-missile-launcher;
CR;185;cr-incapacitator;Weapon;Incapacitator;;When this nonreflective, dark-gray baton connects with a target, it discharges an electrical pulse that can stagger its victim.;cr-incapacitator;
CR;184;cr-incendiary-grenade;BattleWare;Incendiary Grenade;I–VI;Incendiary grenades detonate in a spray of superheated plasma.;cr-incendiary-grenade;
CR;189;cr-injection-glove;Weapon;Injection Glove;;Injection gloves were originally designed for medical use, but they have been heavily altered to serve in combat as well. A flat cartridge containing an injectable substance (such as a medicinal or poison) is inserted into a slot in the pointer finger of the glove, where it connects with a retractable needle. When the pointer finger encounters resistance, the needle pops out and injects its contents. The needle is reset by pressing it against a hard surface (which can be done as part of reloading it).;cr-injection-glove;
CR;199;cr-iridishell;Armor;Iridishell;Advanced, Basic, Superior;These gleaming metal plates lock together to form a suit of heavy armor reminiscent of an insect’s shell. Although the iridishell was initially designed for shirrens, its beauty combined and functionality makes it a popular choice for many. More expensive suits of iridishell not only offer more protection but feature elaborate designs with gold or silver trim and embedded jewels.;cr-iridishell;
CR;204;cr-jarlslayer;PowArmor;Jarlslayer;;The dwarven-built jarlslayer suit is traditionally shaped like a stocky, heavily armored dwarf with articulated hands, though other races have created sleeker, more modern-looking versions.;cr-jarlslayer;
CR;202;cr-kasatha-microcord;Armor;Kasatha Microcord;I–IV;These suits of ribbed protective fabric are slightly less advanced than comparable light armor but still provide good-quality protection at an affordable price. Kasatha-made microcord suits are typically one-piece outfits of dark colors, sometimes with glowing trim, but other manufacturers produce such suits in a variety of colors and styles.;cr-kasatha-microcord;
CR;185;cr-knife;Weapon;Knife;Survival, Tactical;"These light blades can be used for both mundane tasks and combat. A typical survival knife has a fixed, single-edged, carbon- steel or ceramic blade and is treated against corrosion. Tactical knives have large, double-edged blades, often with a section of serrated blade near the haft, and they come in both fixed- and folding-blade designs; users may prefer one style or the other, but the two are identical in terms of price, weight, and damage dealt.";cr-knife;
